367-phrase.npy: IDR: 89.47%      MR: 6.02%       FAR: 4.51%      IDA: 1.459 ms
127-phrase.npy: IDR: 92.98%      MR: 4.13%       FAR: 2.89%      IDA: 1.390 ms
673-phrase.npy: IDR: 93.53%      MR: 1.76%       FAR: 4.71%      IDA: 1.198 ms
692-phrase.npy: IDR: 95.83%      MR: 1.79%       FAR: 2.38%      IDA: 0.884 ms
830-phrase.npy: IDR: 99.05%      MR: 0.95%       FAR: 0.00%      IDA: 1.153 ms
851-phrase.npy: IDR: 88.37%      MR: 2.33%       FAR: 9.30%      IDA: 2.114 ms
907-phrase.npy: IDR: 93.96%      MR: 2.75%       FAR: 3.30%      IDA: 1.371 ms
567-phrase.npy: IDR: 95.21%      MR: 1.06%       FAR: 3.72%      IDA: 1.220 ms
1203-phrase.npy: IDR: 92.98%     MR: 0.88%       FAR: 6.14%      IDA: 1.321 ms
1309-phrase.npy: IDR: 94.27%     MR: 2.60%       FAR: 3.12%      IDA: 1.460 ms
1241-phrase.npy: IDR: 92.50%     MR: 3.33%       FAR: 4.17%      IDA: 1.282 ms
1443-phrase.npy: IDR: 96.06%     MR: 0.49%       FAR: 3.45%      IDA: 1.314 ms
1454-phrase.npy: IDR: 91.93%     MR: 1.86%       FAR: 6.21%      IDA: 1.881 ms
1193-phrase.npy: IDR: 92.77%     MR: 1.70%       FAR: 5.53%      IDA: 1.619 ms
1488-phrase.npy: IDR: 98.46%     MR: 0.77%       FAR: 0.77%      IDA: 0.222 ms
1501-phrase.npy: IDR: 92.81%     MR: 3.60%       FAR: 3.60%      IDA: 1.905 ms
1550-phrase.npy: IDR: 97.99%     MR: 2.01%       FAR: 0.00%      IDA: 0.294 ms
1581-phrase.npy: IDR: 93.36%     MR: 2.84%       FAR: 3.79%      IDA: 2.329 ms
1659-phrase.npy: IDR: 89.05%     MR: 2.92%       FAR: 8.03%      IDA: 1.218 ms
1759-phrase.npy: IDR: 90.08%     MR: 4.13%       FAR: 5.79%      IDA: 1.370 ms
1681-phrase.npy: IDR: 94.54%     MR: 2.19%       FAR: 3.28%      IDA: 0.775 ms
1596-phrase.npy: IDR: 86.70%     MR: 2.13%       FAR: 11.17%     IDA: 1.702 ms
1761-phrase.npy: IDR: 95.83%     MR: 1.04%       FAR: 3.12%      IDA: 2.223 ms
1687-phrase.npy: IDR: 99.46%     MR: 0.54%       FAR: 0.00%      IDA: 0.667 ms
1799-phrase.npy: IDR: 97.51%     MR: 0.00%       FAR: 2.49%      IDA: 1.026 ms
1793-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.165 ms
2061-phrase.npy: IDR: 98.25%     MR: 1.75%       FAR: 0.00%      IDA: 0.703 ms
1981-phrase.npy: IDR: 94.12%     MR: 0.98%       FAR: 4.90%      IDA: 1.132 ms
2068-phrase.npy: IDR: 95.07%     MR: 4.23%       FAR: 0.70%      IDA: 0.571 ms
1813-phrase.npy: IDR: 92.15%     MR: 2.62%       FAR: 5.24%      IDA: 1.596 ms
2102-phrase.npy: IDR: 89.71%     MR: 4.41%       FAR: 5.88%      IDA: 1.759 ms
2074-phrase.npy: IDR: 91.04%     MR: 2.99%       FAR: 5.97%      IDA: 1.708 ms
2103-phrase.npy: IDR: 99.34%     MR: 0.66%       FAR: 0.00%      IDA: 0.523 ms
2114-phrase.npy: IDR: 92.22%     MR: 3.59%       FAR: 4.19%      IDA: 2.240 ms
2143-phrase.npy: IDR: 92.91%     MR: 4.26%       FAR: 2.84%      IDA: 2.035 ms
2124-phrase.npy: IDR: 96.26%     MR: 0.47%       FAR: 3.27%      IDA: 1.157 ms
2290-phrase.npy: IDR: 95.68%     MR: 2.88%       FAR: 1.44%      IDA: 1.189 ms
2222-phrase.npy: IDR: 95.35%     MR: 1.74%       FAR: 2.91%      IDA: 1.661 ms
2313-phrase.npy: IDR: 99.05%     MR: 0.95%       FAR: 0.00%      IDA: 0.501 ms
2308-phrase.npy: IDR: 96.00%     MR: 2.67%       FAR: 1.33%      IDA: 1.693 ms
2187-phrase.npy: IDR: 94.19%     MR: 4.07%       FAR: 1.74%      IDA: 1.346 ms
2309-phrase.npy: IDR: 91.91%     MR: 1.73%       FAR: 6.36%      IDA: 1.819 ms
2327-phrase.npy: IDR: 98.37%     MR: 1.63%       FAR: 0.00%      IDA: 0.915 ms
2322-phrase.npy: IDR: 91.07%     MR: 3.12%       FAR: 5.80%      IDA: 1.716 ms
2364-phrase.npy: IDR: 91.34%     MR: 2.36%       FAR: 6.30%      IDA: 1.858 ms
2354-phrase.npy: IDR: 90.08%     MR: 4.96%       FAR: 4.96%      IDA: 1.747 ms
2371-phrase.npy: IDR: 93.36%     MR: 1.90%       FAR: 4.74%      IDA: 1.753 ms
2398-phrase.npy: IDR: 94.67%     MR: 1.78%       FAR: 3.55%      IDA: 1.240 ms
2475-phrase.npy: IDR: 93.02%     MR: 3.49%       FAR: 3.49%      IDA: 1.024 ms
2474-phrase.npy: IDR: 97.42%     MR: 2.06%       FAR: 0.52%      IDA: 0.473 ms
2486-phrase.npy: IDR: 89.74%     MR: 0.85%       FAR: 9.40%      IDA: 1.746 ms
2552-phrase.npy: IDR: 96.38%     MR: 3.62%       FAR: 0.00%      IDA: 0.537 ms
2558-phrase.npy: IDR: 99.38%     MR: 0.00%       FAR: 0.62%      IDA: 0.594 ms
2524-phrase.npy: IDR: 95.15%     MR: 3.88%       FAR: 0.97%      IDA: 0.363 ms
2335-phrase.npy: IDR: 89.06%     MR: 3.12%       FAR: 7.81%      IDA: 1.676 ms
2184-phrase.npy: IDR: 87.18%     MR: 4.27%       FAR: 8.55%      IDA: 2.024 ms

