503-phrase.npy: IDR: 98.40%      MR: 1.06%       FAR: 0.53%      IDA: 0.656 ms
721-phrase.npy: IDR: 88.34%      MR: 4.29%       FAR: 7.36%      IDA: 1.768 ms
352-phrase.npy: IDR: 97.30%      MR: 1.35%       FAR: 1.35%      IDA: 0.501 ms
814-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.269 ms
446-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.322 ms
718-phrase.npy: IDR: 80.85%      MR: 3.55%       FAR: 15.60%     IDA: 1.965 ms
876-phrase.npy: IDR: 95.04%      MR: 1.65%       FAR: 3.31%      IDA: 1.610 ms
910-phrase.npy: IDR: 83.51%      MR: 8.51%       FAR: 7.98%      IDA: 0.855 ms
923-phrase.npy: IDR: 81.25%      MR: 13.12%      FAR: 5.62%      IDA: 1.743 ms
895-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.322 ms
1190-phrase.npy: IDR: 99.36%     MR: 0.64%       FAR: 0.00%      IDA: 0.298 ms
1218-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.605 ms
129-phrase.npy: IDR: 98.65%      MR: 1.35%       FAR: 0.00%      IDA: 0.899 ms
1195-phrase.npy: IDR: 99.52%     MR: 0.48%       FAR: 0.00%      IDA: 0.371 ms
1251-phrase.npy: IDR: 99.12%     MR: 0.44%       FAR: 0.44%      IDA: 0.852 ms
1290-phrase.npy: IDR: 95.65%     MR: 4.35%       FAR: 0.00%      IDA: 1.174 ms
1450-phrase.npy: IDR: 78.05%     MR: 8.94%       FAR: 13.01%     IDA: 1.755 ms
1525-phrase.npy: IDR: 99.40%     MR: 0.00%       FAR: 0.60%      IDA: 1.228 ms
1305-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.336 ms
1481-phrase.npy: IDR: 81.69%     MR: 9.15%       FAR: 9.15%      IDA: 1.731 ms
1551-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.434 ms
1646-phrase.npy: IDR: 97.24%     MR: 2.07%       FAR: 0.69%      IDA: 1.136 ms
1434-phrase.npy: IDR: 97.14%     MR: 0.48%       FAR: 2.38%      IDA: 0.818 ms
1746-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.290 ms
1741-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.166 ms
1647-phrase.npy: IDR: 99.63%     MR: 0.00%       FAR: 0.37%      IDA: 0.345 ms
1780-phrase.npy: IDR: 98.68%     MR: 1.32%       FAR: 0.00%      IDA: 0.821 ms
1747-phrase.npy: IDR: 99.12%     MR: 0.88%       FAR: 0.00%      IDA: 0.241 ms
1668-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.333 ms
1819-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 1.150 ms
1967-phrase.npy: IDR: 98.95%     MR: 1.05%       FAR: 0.00%      IDA: 0.633 ms
1986-phrase.npy: IDR: 95.68%     MR: 2.16%       FAR: 2.16%      IDA: 1.304 ms
1999-phrase.npy: IDR: 99.47%     MR: 0.53%       FAR: 0.00%      IDA: 0.337 ms
1912-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.508 ms
2015-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.215 ms
2034-phrase.npy: IDR: 95.33%     MR: 2.00%       FAR: 2.67%      IDA: 1.329 ms
2092-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.503 ms
2070-phrase.npy: IDR: 96.71%     MR: 1.32%       FAR: 1.97%      IDA: 1.925 ms
2103-phrase.npy: IDR: 99.34%     MR: 0.66%       FAR: 0.00%      IDA: 0.523 ms
2135-phrase.npy: IDR: 98.48%     MR: 0.00%       FAR: 1.52%      IDA: 0.226 ms
2116-phrase.npy: IDR: 86.75%     MR: 4.64%       FAR: 8.61%      IDA: 1.401 ms
2027-phrase.npy: IDR: 99.39%     MR: 0.61%       FAR: 0.00%      IDA: 0.477 ms
2231-phrase.npy: IDR: 98.14%     MR: 0.62%       FAR: 1.24%      IDA: 0.752 ms
1897-phrase.npy: IDR: 86.99%     MR: 13.01%      FAR: 0.00%      IDA: 1.294 ms
2265-phrase.npy: IDR: 95.59%     MR: 3.43%       FAR: 0.98%      IDA: 0.555 ms
