107-phrase.npy: IDR: 85.15%      MR: 3.96%       FAR: 10.89%     IDA: 1.280 ms
498-phrase.npy: IDR: 90.77%      MR: 3.85%       FAR: 5.38%      IDA: 2.058 ms
493-phrase.npy: IDR: 98.35%      MR: 0.83%       FAR: 0.83%      IDA: 0.613 ms
563-phrase.npy: IDR: 96.53%      MR: 2.78%       FAR: 0.69%      IDA: 0.745 ms
497-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.374 ms
568-phrase.npy: IDR: 98.03%      MR: 0.49%       FAR: 1.48%      IDA: 0.782 ms
139-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.444 ms
819-phrase.npy: IDR: 98.99%      MR: 0.00%       FAR: 1.01%      IDA: 1.465 ms
141-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 1.404 ms
828-phrase.npy: IDR: 96.91%      MR: 1.85%       FAR: 1.23%      IDA: 0.565 ms
824-phrase.npy: IDR: 98.47%      MR: 0.76%       FAR: 0.76%      IDA: 0.194 ms
818-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.946 ms
884-phrase.npy: IDR: 90.72%      MR: 7.22%       FAR: 2.06%      IDA: 1.508 ms
715-phrase.npy: IDR: 83.87%      MR: 5.65%       FAR: 10.48%     IDA: 2.503 ms
871-phrase.npy: IDR: 96.15%      MR: 1.10%       FAR: 2.75%      IDA: 1.290 ms
886-phrase.npy: IDR: 91.88%      MR: 4.38%       FAR: 3.75%      IDA: 0.583 ms
844-phrase.npy: IDR: 82.65%      MR: 5.10%       FAR: 12.24%     IDA: 2.365 ms
904-phrase.npy: IDR: 86.98%      MR: 13.02%      FAR: 0.00%      IDA: 0.828 ms
902-phrase.npy: IDR: 74.71%      MR: 14.94%      FAR: 10.34%     IDA: 2.725 ms
910-phrase.npy: IDR: 83.51%      MR: 8.51%       FAR: 7.98%      IDA: 0.855 ms
919-phrase.npy: IDR: 88.73%      MR: 7.04%       FAR: 4.23%      IDA: 1.523 ms
931-phrase.npy: IDR: 95.83%      MR: 2.08%       FAR: 2.08%      IDA: 1.073 ms
918-phrase.npy: IDR: 92.59%      MR: 3.70%       FAR: 3.70%      IDA: 1.116 ms
930-phrase.npy: IDR: 98.92%      MR: 1.08%       FAR: 0.00%      IDA: 0.566 ms
1047-phrase.npy: IDR: 89.35%     MR: 5.09%       FAR: 5.56%      IDA: 1.803 ms
1119-phrase.npy: IDR: 78.95%     MR: 5.26%       FAR: 15.79%     IDA: 2.234 ms
1046-phrase.npy: IDR: 89.53%     MR: 4.71%       FAR: 5.76%      IDA: 0.968 ms
1161-phrase.npy: IDR: 98.59%     MR: 1.41%       FAR: 0.00%      IDA: 0.394 ms
1163-phrase.npy: IDR: 91.91%     MR: 2.94%       FAR: 5.15%      IDA: 1.149 ms
1221-phrase.npy: IDR: 92.31%     MR: 2.56%       FAR: 5.13%      IDA: 1.392 ms
1188-phrase.npy: IDR: 89.52%     MR: 2.86%       FAR: 7.62%      IDA: 1.772 ms
1192-phrase.npy: IDR: 83.80%     MR: 3.52%       FAR: 12.68%     IDA: 1.759 ms
935-phrase.npy: IDR: 99.19%      MR: 0.00%       FAR: 0.81%      IDA: 0.863 ms
1248-phrase.npy: IDR: 99.00%     MR: 0.00%       FAR: 1.00%      IDA: 0.177 ms
1228-phrase.npy: IDR: 91.58%     MR: 4.21%       FAR: 4.21%      IDA: 1.581 ms
1257-phrase.npy: IDR: 95.91%     MR: 1.36%       FAR: 2.73%      IDA: 0.568 ms
1235-phrase.npy: IDR: 97.85%     MR: 2.15%       FAR: 0.00%      IDA: 0.574 ms
1229-phrase.npy: IDR: 98.25%     MR: 0.88%       FAR: 0.88%      IDA: 1.544 ms
1246-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 1.035 ms
1233-phrase.npy: IDR: 82.35%     MR: 3.36%       FAR: 14.29%     IDA: 2.501 ms
1265-phrase.npy: IDR: 89.57%     MR: 3.79%       FAR: 6.64%      IDA: 2.061 ms
1264-phrase.npy: IDR: 83.33%     MR: 0.00%       FAR: 16.67%     IDA: 2.349 ms
1259-phrase.npy: IDR: 99.12%     MR: 0.88%       FAR: 0.00%      IDA: 0.354 ms
1260-phrase.npy: IDR: 93.98%     MR: 2.26%       FAR: 3.76%      IDA: 1.125 ms
1274-phrase.npy: IDR: 99.22%     MR: 0.78%       FAR: 0.00%      IDA: 0.917 ms
1283-phrase.npy: IDR: 96.77%     MR: 3.23%       FAR: 0.00%      IDA: 0.844 ms
1295-phrase.npy: IDR: 91.00%     MR: 2.00%       FAR: 7.00%      IDA: 1.395 ms
1300-phrase.npy: IDR: 89.11%     MR: 2.97%       FAR: 7.92%      IDA: 2.100 ms
1404-phrase.npy: IDR: 90.97%     MR: 4.17%       FAR: 4.86%      IDA: 1.633 ms
1315-phrase.npy: IDR: 86.73%     MR: 2.04%       FAR: 11.22%     IDA: 1.621 ms
1301-phrase.npy: IDR: 99.54%     MR: 0.46%       FAR: 0.00%      IDA: 0.658 ms
1311-phrase.npy: IDR: 99.49%     MR: 0.00%       FAR: 0.51%      IDA: 0.400 ms
1405-phrase.npy: IDR: 98.04%     MR: 0.49%       FAR: 1.47%      IDA: 0.424 ms
1307-phrase.npy: IDR: 92.31%     MR: 4.81%       FAR: 2.88%      IDA: 0.812 ms
1426-phrase.npy: IDR: 82.88%     MR: 14.38%      FAR: 2.74%      IDA: 2.000 ms
1414-phrase.npy: IDR: 95.98%     MR: 2.68%       FAR: 1.34%      IDA: 0.690 ms
1418-phrase.npy: IDR: 99.13%     MR: 0.87%       FAR: 0.00%      IDA: 0.351 ms
1388-phrase.npy: IDR: 95.62%     MR: 1.88%       FAR: 2.50%      IDA: 0.771 ms
1440-phrase.npy: IDR: 97.78%     MR: 1.48%       FAR: 0.74%      IDA: 0.189 ms
1436-phrase.npy: IDR: 98.86%     MR: 0.57%       FAR: 0.57%      IDA: 0.571 ms
1237-phrase.npy: IDR: 98.55%     MR: 1.45%       FAR: 0.00%      IDA: 1.300 ms
1447-phrase.npy: IDR: 99.20%     MR: 0.00%       FAR: 0.80%      IDA: 0.707 ms
1472-phrase.npy: IDR: 92.74%     MR: 3.23%       FAR: 4.03%      IDA: 0.614 ms
1554-phrase.npy: IDR: 96.23%     MR: 3.14%       FAR: 0.63%      IDA: 1.014 ms
1567-phrase.npy: IDR: 98.79%     MR: 0.61%       FAR: 0.61%      IDA: 1.185 ms
1463-phrase.npy: IDR: 99.01%     MR: 0.99%       FAR: 0.00%      IDA: 1.359 ms
1456-phrase.npy: IDR: 98.91%     MR: 1.09%       FAR: 0.00%      IDA: 0.285 ms
1578-phrase.npy: IDR: 99.17%     MR: 0.00%       FAR: 0.83%      IDA: 0.398 ms
1614-phrase.npy: IDR: 98.72%     MR: 1.28%       FAR: 0.00%      IDA: 0.969 ms
1599-phrase.npy: IDR: 99.22%     MR: 0.78%       FAR: 0.00%      IDA: 0.341 ms
1629-phrase.npy: IDR: 97.50%     MR: 1.25%       FAR: 1.25%      IDA: 0.348 ms
1617-phrase.npy: IDR: 99.41%     MR: 0.59%       FAR: 0.00%      IDA: 0.818 ms
1613-phrase.npy: IDR: 94.64%     MR: 4.46%       FAR: 0.89%      IDA: 0.801 ms
1610-phrase.npy: IDR: 87.72%     MR: 4.68%       FAR: 7.60%      IDA: 1.799 ms
1780-phrase.npy: IDR: 98.68%     MR: 1.32%       FAR: 0.00%      IDA: 0.821 ms
1665-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.277 ms
1795-phrase.npy: IDR: 91.23%     MR: 0.88%       FAR: 7.89%      IDA: 0.931 ms
1806-phrase.npy: IDR: 92.95%     MR: 3.85%       FAR: 3.21%      IDA: 1.707 ms
1930-phrase.npy: IDR: 91.98%     MR: 3.74%       FAR: 4.28%      IDA: 1.640 ms
1809-phrase.npy: IDR: 73.75%     MR: 15.62%      FAR: 10.62%     IDA: 1.635 ms
1783-phrase.npy: IDR: 97.47%     MR: 2.53%       FAR: 0.00%      IDA: 0.702 ms
1796-phrase.npy: IDR: 98.55%     MR: 1.45%       FAR: 0.00%      IDA: 1.004 ms
1940-phrase.npy: IDR: 88.48%     MR: 2.09%       FAR: 9.42%      IDA: 1.068 ms
2003-phrase.npy: IDR: 97.75%     MR: 2.25%       FAR: 0.00%      IDA: 1.544 ms
1987-phrase.npy: IDR: 98.50%     MR: 0.00%       FAR: 1.50%      IDA: 0.438 ms
1973-phrase.npy: IDR: 73.08%     MR: 12.82%      FAR: 14.10%     IDA: 2.050 ms
1965-phrase.npy: IDR: 99.34%     MR: 0.00%       FAR: 0.66%      IDA: 0.525 ms
