120-phrase.npy: IDR: 87.84%      MR: 2.03%       FAR: 10.14%     IDA: 1.636 ms
128-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.428 ms
130-phrase.npy: IDR: 77.00%      MR: 10.00%      FAR: 13.00%     IDA: 2.298 ms
152-phrase.npy: IDR: 80.51%      MR: 10.26%      FAR: 9.23%      IDA: 1.938 ms
108-phrase.npy: IDR: 93.33%      MR: 1.54%       FAR: 5.13%      IDA: 1.134 ms
142-phrase.npy: IDR: 92.59%      MR: 1.23%       FAR: 6.17%      IDA: 1.645 ms
138-phrase.npy: IDR: 67.50%      MR: 25.00%      FAR: 7.50%      IDA: 1.795 ms
150-phrase.npy: IDR: 91.21%      MR: 4.40%       FAR: 4.40%      IDA: 1.737 ms
105-phrase.npy: IDR: 93.49%      MR: 2.30%       FAR: 4.21%      IDA: 1.535 ms
356-phrase.npy: IDR: 89.74%      MR: 3.42%       FAR: 6.84%      IDA: 1.658 ms
358-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.132 ms
450-phrase.npy: IDR: 95.08%      MR: 0.55%       FAR: 4.37%      IDA: 1.276 ms
448-phrase.npy: IDR: 95.49%      MR: 3.01%       FAR: 1.50%      IDA: 1.042 ms
365-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.410 ms
362-phrase.npy: IDR: 90.32%      MR: 4.03%       FAR: 5.65%      IDA: 2.536 ms
492-phrase.npy: IDR: 65.22%      MR: 13.04%      FAR: 21.74%     IDA: 2.066 ms
364-phrase.npy: IDR: 96.08%      MR: 1.96%       FAR: 1.96%      IDA: 1.038 ms
155-phrase.npy: IDR: 90.67%      MR: 9.33%       FAR: 0.00%      IDA: 0.461 ms
352-phrase.npy: IDR: 97.30%      MR: 1.35%       FAR: 1.35%      IDA: 0.501 ms
629-phrase.npy: IDR: 98.97%      MR: 0.52%       FAR: 0.52%      IDA: 0.983 ms
627-phrase.npy: IDR: 94.55%      MR: 1.98%       FAR: 3.47%      IDA: 1.312 ms
633-phrase.npy: IDR: 90.84%      MR: 3.98%       FAR: 5.18%      IDA: 1.293 ms
670-phrase.npy: IDR: 98.67%      MR: 0.67%       FAR: 0.67%      IDA: 0.209 ms
565-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.379 ms
632-phrase.npy: IDR: 96.77%      MR: 1.08%       FAR: 2.15%      IDA: 1.034 ms
712-phrase.npy: IDR: 91.22%      MR: 2.70%       FAR: 6.08%      IDA: 1.430 ms
716-phrase.npy: IDR: 93.83%      MR: 3.09%       FAR: 3.09%      IDA: 1.535 ms
725-phrase.npy: IDR: 94.12%      MR: 2.35%       FAR: 3.53%      IDA: 1.407 ms
728-phrase.npy: IDR: 74.07%      MR: 7.41%       FAR: 18.52%     IDA: 1.701 ms
726-phrase.npy: IDR: 90.14%      MR: 9.86%       FAR: 0.00%      IDA: 0.493 ms
671-phrase.npy: IDR: 91.15%      MR: 2.65%       FAR: 6.19%      IDA: 1.427 ms
849-phrase.npy: IDR: 96.17%      MR: 2.87%       FAR: 0.96%      IDA: 0.862 ms
855-phrase.npy: IDR: 91.11%      MR: 2.96%       FAR: 5.93%      IDA: 1.075 ms
825-phrase.npy: IDR: 83.61%      MR: 4.10%       FAR: 12.30%     IDA: 1.911 ms
869-phrase.npy: IDR: 90.14%      MR: 3.76%       FAR: 6.10%      IDA: 1.809 ms
864-phrase.npy: IDR: 92.96%      MR: 2.11%       FAR: 4.93%      IDA: 1.927 ms
874-phrase.npy: IDR: 86.21%      MR: 4.31%       FAR: 9.48%      IDA: 1.736 ms
880-phrase.npy: IDR: 99.22%      MR: 0.78%       FAR: 0.00%      IDA: 0.641 ms
883-phrase.npy: IDR: 92.68%      MR: 2.44%       FAR: 4.88%      IDA: 1.652 ms
859-phrase.npy: IDR: 56.38%      MR: 31.67%      FAR: 11.94%     IDA: 2.065 ms
893-phrase.npy: IDR: 98.48%      MR: 0.76%       FAR: 0.76%      IDA: 0.759 ms
896-phrase.npy: IDR: 91.23%      MR: 6.14%       FAR: 2.63%      IDA: 2.175 ms
897-phrase.npy: IDR: 61.67%      MR: 16.67%      FAR: 21.67%     IDA: 3.296 ms
879-phrase.npy: IDR: 96.20%      MR: 0.54%       FAR: 3.26%      IDA: 1.598 ms
912-phrase.npy: IDR: 97.75%      MR: 1.12%       FAR: 1.12%      IDA: 0.218 ms
914-phrase.npy: IDR: 96.43%      MR: 3.57%       FAR: 0.00%      IDA: 0.561 ms
887-phrase.npy: IDR: 82.35%      MR: 5.88%       FAR: 11.76%     IDA: 0.423 ms
928-phrase.npy: IDR: 81.33%      MR: 8.67%       FAR: 10.00%     IDA: 2.152 ms
924-phrase.npy: IDR: 83.75%      MR: 9.39%       FAR: 6.86%      IDA: 2.202 ms
908-phrase.npy: IDR: 100.00%     MR: 0.00%       FAR: 0.00%      IDA: 0.269 ms
926-phrase.npy: IDR: 85.71%      MR: 3.17%       FAR: 11.11%     IDA: 2.049 ms
1040-phrase.npy: IDR: 82.05%     MR: 5.13%       FAR: 12.82%     IDA: 1.376 ms
1049-phrase.npy: IDR: 96.72%     MR: 0.73%       FAR: 2.55%      IDA: 0.911 ms
1120-phrase.npy: IDR: 98.93%     MR: 1.07%       FAR: 0.00%      IDA: 0.682 ms
1223-phrase.npy: IDR: 97.96%     MR: 0.00%       FAR: 2.04%      IDA: 0.392 ms
1054-phrase.npy: IDR: 88.80%     MR: 4.80%       FAR: 6.40%      IDA: 1.801 ms
1206-phrase.npy: IDR: 95.34%     MR: 1.55%       FAR: 3.11%      IDA: 0.651 ms
1166-phrase.npy: IDR: 32.30%     MR: 62.26%      FAR: 5.45%      IDA: 2.799 ms
1256-phrase.npy: IDR: 88.40%     MR: 4.40%       FAR: 7.20%      IDA: 1.395 ms
1249-phrase.npy: IDR: 91.49%     MR: 1.06%       FAR: 7.45%      IDA: 1.090 ms
929-phrase.npy: IDR: 89.73%      MR: 2.70%       FAR: 7.57%      IDA: 1.370 ms
1262-phrase.npy: IDR: 80.90%     MR: 5.62%       FAR: 13.48%     IDA: 2.020 ms
1271-phrase.npy: IDR: 99.24%     MR: 0.76%       FAR: 0.00%      IDA: 0.191 ms
1272-phrase.npy: IDR: 79.17%     MR: 3.47%       FAR: 17.36%     IDA: 1.613 ms
1277-phrase.npy: IDR: 99.38%     MR: 0.00%       FAR: 0.62%      IDA: 0.471 ms
1292-phrase.npy: IDR: 95.24%     MR: 0.00%       FAR: 4.76%      IDA: 2.331 ms
1270-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.474 ms
1289-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.596 ms
1293-phrase.npy: IDR: 77.95%     MR: 12.60%      FAR: 9.45%      IDA: 2.131 ms
1304-phrase.npy: IDR: 97.58%     MR: 2.42%       FAR: 0.00%      IDA: 0.871 ms
1314-phrase.npy: IDR: 99.11%     MR: 0.00%       FAR: 0.89%      IDA: 0.428 ms
1325-phrase.npy: IDR: 99.21%     MR: 0.00%       FAR: 0.79%      IDA: 1.235 ms
1390-phrase.npy: IDR: 78.05%     MR: 12.20%      FAR: 9.76%      IDA: 2.137 ms
1382-phrase.npy: IDR: 82.88%     MR: 9.91%       FAR: 7.21%      IDA: 2.833 ms
1399-phrase.npy: IDR: 88.72%     MR: 6.77%       FAR: 4.51%      IDA: 2.277 ms
1263-phrase.npy: IDR: 94.00%     MR: 2.00%       FAR: 4.00%      IDA: 1.127 ms
1330-phrase.npy: IDR: 96.67%     MR: 3.33%       FAR: 0.00%      IDA: 0.459 ms
1434-phrase.npy: IDR: 97.14%     MR: 0.48%       FAR: 2.38%      IDA: 0.818 ms
1418-phrase.npy: IDR: 99.13%     MR: 0.87%       FAR: 0.00%      IDA: 0.351 ms
1444-phrase.npy: IDR: 79.20%     MR: 4.80%       FAR: 16.00%     IDA: 1.842 ms
1397-phrase.npy: IDR: 70.45%     MR: 25.00%      FAR: 4.55%      IDA: 2.505 ms
1437-phrase.npy: IDR: 87.18%     MR: 5.13%       FAR: 7.69%      IDA: 1.805 ms
1407-phrase.npy: IDR: 91.30%     MR: 4.35%       FAR: 4.35%      IDA: 0.960 ms
1424-phrase.npy: IDR: 60.71%     MR: 17.86%      FAR: 21.43%     IDA: 2.454 ms
1402-phrase.npy: IDR: 33.33%     MR: 33.33%      FAR: 33.33%     IDA: 0.000 ms
1478-phrase.npy: IDR: 97.46%     MR: 1.69%       FAR: 0.85%      IDA: 0.908 ms
1470-phrase.npy: IDR: 89.29%     MR: 7.86%       FAR: 2.86%      IDA: 1.717 ms
1466-phrase.npy: IDR: 99.47%     MR: 0.53%       FAR: 0.00%      IDA: 0.364 ms
1484-phrase.npy: IDR: 95.77%     MR: 2.12%       FAR: 2.12%      IDA: 0.769 ms
1489-phrase.npy: IDR: 87.50%     MR: 3.12%       FAR: 9.38%      IDA: 2.204 ms
1549-phrase.npy: IDR: 98.59%     MR: 1.41%       FAR: 0.00%      IDA: 0.926 ms
1553-phrase.npy: IDR: 95.91%     MR: 1.17%       FAR: 2.92%      IDA: 1.374 ms
1547-phrase.npy: IDR: 80.43%     MR: 5.43%       FAR: 14.13%     IDA: 2.395 ms
1581-phrase.npy: IDR: 93.36%     MR: 2.84%       FAR: 3.79%      IDA: 2.329 ms
1564-phrase.npy: IDR: 99.04%     MR: 0.00%       FAR: 0.96%      IDA: 0.506 ms
1555-phrase.npy: IDR: 66.67%     MR: 0.00%       FAR: 33.33%     IDA: 0.094 ms
1601-phrase.npy: IDR: 96.80%     MR: 2.40%       FAR: 0.80%      IDA: 1.179 ms
1570-phrase.npy: IDR: 87.26%     MR: 5.19%       FAR: 7.55%      IDA: 1.553 ms
1548-phrase.npy: IDR: 96.25%     MR: 1.25%       FAR: 2.50%      IDA: 1.422 ms
1604-phrase.npy: IDR: 90.53%     MR: 2.37%       FAR: 7.10%      IDA: 1.667 ms
1638-phrase.npy: IDR: 75.00%     MR: 25.00%      FAR: 0.00%      IDA: 0.617 ms
