143-phrase.npy: IDR: 90.67%      MR: 4.67%       FAR: 4.67%      IDA: 1.429 ms
901-phrase.npy: IDR: 53.33%      MR: 33.33%      FAR: 13.33%     IDA: 2.034 ms
665-phrase.npy: IDR: 97.95%      MR: 0.68%       FAR: 1.37%      IDA: 0.790 ms
1565-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.444 ms
1438-phrase.npy: IDR: 98.63%     MR: 1.37%       FAR: 0.00%      IDA: 0.523 ms
1482-phrase.npy: IDR: 88.50%     MR: 5.50%       FAR: 6.00%      IDA: 1.640 ms
1652-phrase.npy: IDR: 98.18%     MR: 1.21%       FAR: 0.61%      IDA: 1.093 ms
1677-phrase.npy: IDR: 99.40%     MR: 0.60%       FAR: 0.00%      IDA: 0.487 ms
1666-phrase.npy: IDR: 91.45%     MR: 5.13%       FAR: 3.42%      IDA: 0.867 ms
1679-phrase.npy: IDR: 93.06%     MR: 1.39%       FAR: 5.56%      IDA: 1.457 ms
1672-phrase.npy: IDR: 98.25%     MR: 0.00%       FAR: 1.75%      IDA: 0.711 ms
1762-phrase.npy: IDR: 95.83%     MR: 4.17%       FAR: 0.00%      IDA: 0.681 ms
1757-phrase.npy: IDR: 77.11%     MR: 12.05%      FAR: 10.84%     IDA: 1.938 ms
1752-phrase.npy: IDR: 99.35%     MR: 0.65%       FAR: 0.00%      IDA: 0.380 ms
1723-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.548 ms
1689-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.734 ms
1790-phrase.npy: IDR: 89.41%     MR: 5.88%       FAR: 4.71%      IDA: 1.749 ms
1797-phrase.npy: IDR: 87.60%     MR: 9.09%       FAR: 3.31%      IDA: 1.179 ms
1782-phrase.npy: IDR: 92.93%     MR: 1.01%       FAR: 6.06%      IDA: 1.430 ms
1804-phrase.npy: IDR: 88.89%     MR: 4.44%       FAR: 6.67%      IDA: 0.899 ms
1807-phrase.npy: IDR: 90.76%     MR: 2.52%       FAR: 6.72%      IDA: 1.595 ms
1769-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 1.166 ms
1770-phrase.npy: IDR: 97.62%     MR: 2.38%       FAR: 0.00%      IDA: 0.104 ms
1821-phrase.npy: IDR: 89.58%     MR: 4.86%       FAR: 5.56%      IDA: 2.162 ms
1817-phrase.npy: IDR: 88.39%     MR: 5.36%       FAR: 6.25%      IDA: 1.721 ms
1763-phrase.npy: IDR: 75.32%     MR: 12.99%      FAR: 11.69%     IDA: 2.765 ms
1834-phrase.npy: IDR: 88.14%     MR: 5.08%       FAR: 6.78%      IDA: 1.576 ms
1869-phrase.npy: IDR: 86.67%     MR: 7.41%       FAR: 5.93%      IDA: 1.796 ms
1902-phrase.npy: IDR: 83.89%     MR: 5.37%       FAR: 10.74%     IDA: 1.786 ms
1909-phrase.npy: IDR: 83.33%     MR: 8.33%       FAR: 8.33%      IDA: 1.074 ms
1908-phrase.npy: IDR: 85.95%     MR: 7.44%       FAR: 6.61%      IDA: 1.372 ms
1914-phrase.npy: IDR: 96.75%     MR: 2.60%       FAR: 0.65%      IDA: 1.138 ms
1937-phrase.npy: IDR: 62.50%     MR: 12.50%      FAR: 25.00%     IDA: 1.386 ms
1938-phrase.npy: IDR: 96.67%     MR: 1.11%       FAR: 2.22%      IDA: 1.036 ms
1960-phrase.npy: IDR: 81.42%     MR: 10.62%      FAR: 7.96%      IDA: 1.780 ms
1950-phrase.npy: IDR: 87.50%     MR: 5.77%       FAR: 6.73%      IDA: 1.739 ms
1945-phrase.npy: IDR: 99.35%     MR: 0.65%       FAR: 0.00%      IDA: 1.344 ms
1961-phrase.npy: IDR: 98.57%     MR: 0.00%       FAR: 1.43%      IDA: 0.740 ms
1998-phrase.npy: IDR: 94.16%     MR: 1.95%       FAR: 3.90%      IDA: 0.702 ms
1972-phrase.npy: IDR: 88.44%     MR: 7.51%       FAR: 4.05%      IDA: 1.348 ms
1992-phrase.npy: IDR: 86.43%     MR: 6.79%       FAR: 6.79%      IDA: 1.258 ms
2023-phrase.npy: IDR: 90.30%     MR: 5.22%       FAR: 4.48%      IDA: 1.488 ms
2010-phrase.npy: IDR: 81.48%     MR: 7.41%       FAR: 11.11%     IDA: 1.872 ms
2022-phrase.npy: IDR: 99.23%     MR: 0.77%       FAR: 0.00%      IDA: 0.729 ms
2008-phrase.npy: IDR: 85.71%     MR: 8.93%       FAR: 5.36%      IDA: 2.030 ms
1994-phrase.npy: IDR: 96.77%     MR: 0.00%       FAR: 3.23%      IDA: 0.624 ms
2159-phrase.npy: IDR: 92.94%     MR: 2.35%       FAR: 4.71%      IDA: 1.503 ms
2141-phrase.npy: IDR: 90.66%     MR: 3.85%       FAR: 5.49%      IDA: 1.730 ms
2158-phrase.npy: IDR: 83.74%     MR: 8.87%       FAR: 7.39%      IDA: 1.975 ms
2082-phrase.npy: IDR: 85.86%     MR: 6.28%       FAR: 7.85%      IDA: 1.631 ms
2194-phrase.npy: IDR: 87.98%     MR: 6.44%       FAR: 5.58%      IDA: 1.685 ms
2030-phrase.npy: IDR: 84.78%     MR: 5.80%       FAR: 9.42%      IDA: 1.255 ms
2234-phrase.npy: IDR: 82.95%     MR: 5.68%       FAR: 11.36%     IDA: 2.241 ms
2304-phrase.npy: IDR: 87.41%     MR: 5.93%       FAR: 6.67%      IDA: 1.244 ms
2273-phrase.npy: IDR: 95.30%     MR: 3.36%       FAR: 1.34%      IDA: 0.921 ms
2227-phrase.npy: IDR: 88.34%     MR: 7.36%       FAR: 4.29%      IDA: 0.828 ms
2320-phrase.npy: IDR: 84.73%     MR: 8.40%       FAR: 6.87%      IDA: 2.293 ms
2352-phrase.npy: IDR: 99.07%     MR: 0.00%       FAR: 0.93%      IDA: 1.118 ms
2440-phrase.npy: IDR: 80.86%     MR: 11.73%      FAR: 7.41%      IDA: 1.747 ms
2361-phrase.npy: IDR: 93.69%     MR: 5.41%       FAR: 0.90%      IDA: 1.622 ms
2397-phrase.npy: IDR: 98.61%     MR: 1.39%       FAR: 0.00%      IDA: 0.871 ms
2485-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.990 ms
2560-phrase.npy: IDR: 91.37%     MR: 2.16%       FAR: 6.47%      IDA: 1.844 ms
2396-phrase.npy: IDR: 89.58%     MR: 2.50%       FAR: 7.92%      IDA: 1.264 ms

identification_rate:0.9021 miss_rate:0.04878 false_alarm_rate:0.04912 identification_accuracy:0.001314
