350-phrase.npy: IDR: 90.23%      MR: 4.51%       FAR: 5.26%      IDA: 1.640 ms
631-phrase.npy: IDR: 99.10%      MR: 0.00%       FAR: 0.90%      IDA: 0.210 ms
351-phrase.npy: IDR: 90.66%      MR: 5.49%       FAR: 3.85%      IDA: 1.111 ms
634-phrase.npy: IDR: 98.70%      MR: 0.65%       FAR: 0.65%      IDA: 0.158 ms
718-phrase.npy: IDR: 84.67%      MR: 2.92%       FAR: 12.41%     IDA: 0.500 ms
722-phrase.npy: IDR: 99.05%      MR: 0.47%       FAR: 0.47%      IDA: 0.347 ms
729-phrase.npy: IDR: 80.77%      MR: 10.26%      FAR: 8.97%      IDA: 2.190 ms
730-phrase.npy: IDR: 99.52%      MR: 0.00%       FAR: 0.48%      IDA: 0.141 ms
723-phrase.npy: IDR: 89.16%      MR: 7.23%       FAR: 3.61%      IDA: 0.414 ms
727-phrase.npy: IDR: 93.33%      MR: 2.78%       FAR: 3.89%      IDA: 0.999 ms
870-phrase.npy: IDR: 72.34%      MR: 13.83%      FAR: 13.83%     IDA: 2.233 ms
878-phrase.npy: IDR: 93.02%      MR: 0.78%       FAR: 6.20%      IDA: 0.639 ms
851-phrase.npy: IDR: 81.61%      MR: 4.60%       FAR: 13.79%     IDA: 2.558 ms
1200-phrase.npy: IDR: 92.45%     MR: 2.83%       FAR: 4.72%      IDA: 0.670 ms
1230-phrase.npy: IDR: 99.19%     MR: 0.00%       FAR: 0.81%      IDA: 0.117 ms
913-phrase.npy: IDR: 70.21%      MR: 12.06%      FAR: 17.73%     IDA: 1.883 ms
1240-phrase.npy: IDR: 86.07%     MR: 5.74%       FAR: 8.20%      IDA: 1.610 ms
1241-phrase.npy: IDR: 83.19%     MR: 8.40%       FAR: 8.40%      IDA: 1.583 ms
1244-phrase.npy: IDR: 74.83%     MR: 12.59%      FAR: 12.59%     IDA: 2.130 ms
1254-phrase.npy: IDR: 69.44%     MR: 17.36%      FAR: 13.19%     IDA: 2.638 ms
1193-phrase.npy: IDR: 86.81%     MR: 5.96%       FAR: 7.23%      IDA: 1.489 ms
1309-phrase.npy: IDR: 92.63%     MR: 4.21%       FAR: 3.16%      IDA: 1.318 ms
1318-phrase.npy: IDR: 94.51%     MR: 4.40%       FAR: 1.10%      IDA: 0.172 ms
1281-phrase.npy: IDR: 73.30%     MR: 12.04%      FAR: 14.66%     IDA: 2.190 ms
1328-phrase.npy: IDR: 94.44%     MR: 4.44%       FAR: 1.11%      IDA: 0.186 ms
1258-phrase.npy: IDR: 98.80%     MR: 1.20%       FAR: 0.00%      IDA: 0.192 ms
1322-phrase.npy: IDR: 82.00%     MR: 12.00%      FAR: 6.00%      IDA: 2.255 ms
1400-phrase.npy: IDR: 90.32%     MR: 4.03%       FAR: 5.65%      IDA: 1.762 ms
1415-phrase.npy: IDR: 75.47%     MR: 11.32%      FAR: 13.21%     IDA: 1.551 ms
1432-phrase.npy: IDR: 89.93%     MR: 4.32%       FAR: 5.76%      IDA: 0.959 ms
1435-phrase.npy: IDR: 81.19%     MR: 4.95%       FAR: 13.86%     IDA: 1.560 ms
1326-phrase.npy: IDR: 90.00%     MR: 5.29%       FAR: 4.71%      IDA: 0.991 ms
1441-phrase.npy: IDR: 90.91%     MR: 5.19%       FAR: 3.90%      IDA: 1.358 ms
1552-phrase.npy: IDR: 88.79%     MR: 4.31%       FAR: 6.90%      IDA: 0.745 ms
1611-phrase.npy: IDR: 91.14%     MR: 1.27%       FAR: 7.59%      IDA: 1.063 ms
1609-phrase.npy: IDR: 69.77%     MR: 13.37%      FAR: 16.86%     IDA: 2.714 ms
1627-phrase.npy: IDR: 69.33%     MR: 14.00%      FAR: 16.67%     IDA: 2.386 ms
1589-phrase.npy: IDR: 91.50%     MR: 4.50%       FAR: 4.00%      IDA: 1.263 ms
1642-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.093 ms
1659-phrase.npy: IDR: 88.24%     MR: 2.94%       FAR: 8.82%      IDA: 1.763 ms
1645-phrase.npy: IDR: 93.41%     MR: 2.75%       FAR: 3.85%      IDA: 1.013 ms
1680-phrase.npy: IDR: 64.96%     MR: 17.95%      FAR: 17.09%     IDA: 2.044 ms
