140-phrase.npy: IDR: 91.34%      MR: 3.94%       FAR: 4.72%      IDA: 0.449 ms
106-phrase.npy: IDR: 98.21%      MR: 0.00%       FAR: 1.79%      IDA: 0.170 ms
127-phrase.npy: IDR: 90.04%      MR: 6.22%       FAR: 3.73%      IDA: 1.202 ms
144-phrase.npy: IDR: 80.95%      MR: 7.14%       FAR: 11.90%     IDA: 2.351 ms
159-phrase.npy: IDR: 98.68%      MR: 0.66%       FAR: 0.66%      IDA: 0.184 ms
363-phrase.npy: IDR: 88.17%      MR: 5.33%       FAR: 6.51%      IDA: 1.354 ms
160-phrase.npy: IDR: 95.95%      MR: 3.47%       FAR: 0.58%      IDA: 0.137 ms
355-phrase.npy: IDR: 92.37%      MR: 4.58%       FAR: 3.05%      IDA: 1.197 ms
499-phrase.npy: IDR: 87.27%      MR: 5.45%       FAR: 7.27%      IDA: 1.367 ms
348-phrase.npy: IDR: 99.58%      MR: 0.00%       FAR: 0.42%      IDA: 0.112 ms
669-phrase.npy: IDR: 91.53%      MR: 4.23%       FAR: 4.23%      IDA: 1.051 ms
724-phrase.npy: IDR: 86.80%      MR: 6.60%       FAR: 6.60%      IDA: 1.387 ms
692-phrase.npy: IDR: 94.64%      MR: 2.98%       FAR: 2.38%      IDA: 1.267 ms
665-phrase.npy: IDR: 95.89%      MR: 2.05%       FAR: 2.05%      IDA: 0.728 ms
819-phrase.npy: IDR: 97.00%      MR: 1.00%       FAR: 2.00%      IDA: 1.195 ms
829-phrase.npy: IDR: 99.23%      MR: 0.00%       FAR: 0.77%      IDA: 0.243 ms
827-phrase.npy: IDR: 85.29%      MR: 5.88%       FAR: 8.82%      IDA: 1.239 ms
854-phrase.npy: IDR: 99.10%      MR: 0.90%       FAR: 0.00%      IDA: 0.147 ms
857-phrase.npy: IDR: 76.32%      MR: 7.89%       FAR: 15.79%     IDA: 2.119 ms
881-phrase.npy: IDR: 76.74%      MR: 8.14%       FAR: 15.12%     IDA: 2.435 ms
850-phrase.npy: IDR: 98.29%      MR: 1.02%       FAR: 0.68%      IDA: 0.653 ms
888-phrase.npy: IDR: 84.00%      MR: 4.00%       FAR: 12.00%     IDA: 1.544 ms
889-phrase.npy: IDR: 90.31%      MR: 5.61%       FAR: 4.08%      IDA: 1.018 ms
868-phrase.npy: IDR: 85.43%      MR: 6.48%       FAR: 8.10%      IDA: 1.434 ms
890-phrase.npy: IDR: 87.67%      MR: 8.22%       FAR: 4.11%      IDA: 2.048 ms
898-phrase.npy: IDR: 90.32%      MR: 4.03%       FAR: 5.65%      IDA: 0.735 ms
894-phrase.npy: IDR: 99.33%      MR: 0.00%       FAR: 0.67%      IDA: 0.155 ms
909-phrase.npy: IDR: 86.29%      MR: 5.65%       FAR: 8.06%      IDA: 1.427 ms
922-phrase.npy: IDR: 97.94%      MR: 2.06%       FAR: 0.00%      IDA: 0.132 ms
934-phrase.npy: IDR: 73.13%      MR: 13.43%      FAR: 13.43%     IDA: 2.478 ms
1037-phrase.npy: IDR: 89.36%     MR: 5.67%       FAR: 4.96%      IDA: 0.867 ms
1043-phrase.npy: IDR: 97.60%     MR: 1.60%       FAR: 0.80%      IDA: 0.121 ms
1044-phrase.npy: IDR: 89.71%     MR: 5.88%       FAR: 4.41%      IDA: 1.345 ms
1050-phrase.npy: IDR: 65.85%     MR: 14.02%      FAR: 20.12%     IDA: 2.254 ms
1113-phrase.npy: IDR: 89.43%     MR: 4.88%       FAR: 5.69%      IDA: 1.039 ms
1088-phrase.npy: IDR: 82.19%     MR: 4.11%       FAR: 13.70%     IDA: 1.228 ms
1051-phrase.npy: IDR: 94.71%     MR: 2.65%       FAR: 2.65%      IDA: 0.593 ms
1083-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.119 ms
1085-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.125 ms
1090-phrase.npy: IDR: 86.54%     MR: 8.17%       FAR: 5.29%      IDA: 1.193 ms
1118-phrase.npy: IDR: 86.36%     MR: 5.45%       FAR: 8.18%      IDA: 1.466 ms
1189-phrase.npy: IDR: 91.18%     MR: 3.68%       FAR: 5.15%      IDA: 0.990 ms
1222-phrase.npy: IDR: 83.90%     MR: 7.63%       FAR: 8.47%      IDA: 1.890 ms
1282-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.132 ms
1266-phrase.npy: IDR: 68.00%     MR: 12.80%      FAR: 19.20%     IDA: 2.001 ms
1280-phrase.npy: IDR: 73.58%     MR: 12.26%      FAR: 14.15%     IDA: 2.414 ms
1204-phrase.npy: IDR: 85.12%     MR: 7.74%       FAR: 7.14%      IDA: 1.619 ms
1284-phrase.npy: IDR: 89.06%     MR: 4.69%       FAR: 6.25%      IDA: 1.392 ms
1196-phrase.npy: IDR: 66.86%     MR: 16.86%      FAR: 16.28%     IDA: 2.655 ms
1285-phrase.npy: IDR: 98.68%     MR: 0.66%       FAR: 0.66%      IDA: 0.125 ms
1294-phrase.npy: IDR: 85.37%     MR: 6.71%       FAR: 7.93%      IDA: 1.466 ms
1299-phrase.npy: IDR: 83.12%     MR: 9.09%       FAR: 7.79%      IDA: 1.090 ms
1310-phrase.npy: IDR: 96.12%     MR: 3.88%       FAR: 0.00%      IDA: 0.101 ms
1324-phrase.npy: IDR: 90.00%     MR: 4.29%       FAR: 5.71%      IDA: 1.494 ms
1331-phrase.npy: IDR: 83.33%     MR: 6.41%       FAR: 10.26%     IDA: 1.563 ms
1335-phrase.npy: IDR: 95.14%     MR: 2.78%       FAR: 2.08%      IDA: 1.185 ms
1379-phrase.npy: IDR: 73.42%     MR: 11.39%      FAR: 15.19%     IDA: 1.995 ms
1380-phrase.npy: IDR: 91.09%     MR: 3.96%       FAR: 4.95%      IDA: 1.220 ms
1327-phrase.npy: IDR: 82.95%     MR: 6.98%       FAR: 10.08%     IDA: 2.015 ms
1431-phrase.npy: IDR: 90.00%     MR: 4.44%       FAR: 5.56%      IDA: 0.555 ms
1406-phrase.npy: IDR: 84.44%     MR: 6.67%       FAR: 8.89%      IDA: 1.777 ms
1442-phrase.npy: IDR: 87.58%     MR: 6.54%       FAR: 5.88%      IDA: 1.936 ms
1443-phrase.npy: IDR: 92.65%     MR: 1.96%       FAR: 5.39%      IDA: 0.490 ms
1394-phrase.npy: IDR: 95.71%     MR: 1.23%       FAR: 3.07%      IDA: 0.839 ms
1464-phrase.npy: IDR: 91.97%     MR: 5.84%       FAR: 2.19%      IDA: 1.022 ms
1459-phrase.npy: IDR: 85.71%     MR: 4.76%       FAR: 9.52%      IDA: 1.465 ms
1471-phrase.npy: IDR: 71.17%     MR: 11.71%      FAR: 17.12%     IDA: 2.551 ms
1462-phrase.npy: IDR: 90.83%     MR: 3.93%       FAR: 5.24%      IDA: 1.166 ms
1468-phrase.npy: IDR: 68.75%     MR: 11.81%      FAR: 19.44%     IDA: 2.455 ms
1476-phrase.npy: IDR: 87.07%     MR: 6.80%       FAR: 6.12%      IDA: 1.437 ms
1492-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.200 ms
1562-phrase.npy: IDR: 74.67%     MR: 18.67%      FAR: 6.67%      IDA: 1.318 ms
1602-phrase.npy: IDR: 96.92%     MR: 0.00%       FAR: 3.08%      IDA: 0.134 ms
1569-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.104 ms
1571-phrase.npy: IDR: 91.28%     MR: 1.38%       FAR: 7.34%      IDA: 0.453 ms
1566-phrase.npy: IDR: 87.03%     MR: 5.95%       FAR: 7.03%      IDA: 1.181 ms
1500-phrase.npy: IDR: 64.95%     MR: 18.22%      FAR: 16.82%     IDA: 2.009 ms
1607-phrase.npy: IDR: 85.11%     MR: 7.09%       FAR: 7.80%      IDA: 1.943 ms
1594-phrase.npy: IDR: 74.07%     MR: 9.26%       FAR: 16.67%     IDA: 2.057 ms
1637-phrase.npy: IDR: 93.83%     MR: 1.23%       FAR: 4.94%      IDA: 0.105 ms
1608-phrase.npy: IDR: 89.15%     MR: 5.43%       FAR: 5.43%      IDA: 1.334 ms
1643-phrase.npy: IDR: 96.28%     MR: 2.33%       FAR: 1.40%      IDA: 0.822 ms
1653-phrase.npy: IDR: 84.07%     MR: 15.93%      FAR: 0.00%      IDA: 0.240 ms
1591-phrase.npy: IDR: 99.70%     MR: 0.00%       FAR: 0.30%      IDA: 0.118 ms
1660-phrase.npy: IDR: 76.32%     MR: 10.53%      FAR: 13.16%     IDA: 2.273 ms
1682-phrase.npy: IDR: 83.76%     MR: 6.84%       FAR: 9.40%      IDA: 2.318 ms
1648-phrase.npy: IDR: 91.32%     MR: 4.15%       FAR: 4.53%      IDA: 1.630 ms
1686-phrase.npy: IDR: 96.86%     MR: 1.89%       FAR: 1.26%      IDA: 0.894 ms
1741-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.129 ms
