366-phrase.npy: IDR: 77.17%      MR: 10.87%      FAR: 11.96%     IDA: 2.277 ms
151-phrase.npy: IDR: 72.81%      MR: 10.53%      FAR: 16.67%     IDA: 2.607 ms
741-phrase.npy: IDR: 82.80%      MR: 10.75%      FAR: 6.45%      IDA: 2.051 ms
823-phrase.npy: IDR: 77.45%      MR: 7.84%       FAR: 14.71%     IDA: 2.130 ms
848-phrase.npy: IDR: 97.62%      MR: 0.60%       FAR: 1.79%      IDA: 0.661 ms
877-phrase.npy: IDR: 98.48%      MR: 0.51%       FAR: 1.02%      IDA: 0.166 ms
885-phrase.npy: IDR: 95.71%      MR: 1.84%       FAR: 2.45%      IDA: 0.980 ms
917-phrase.npy: IDR: 90.99%      MR: 3.60%       FAR: 5.41%      IDA: 1.541 ms
911-phrase.npy: IDR: 97.08%      MR: 2.92%       FAR: 0.00%      IDA: 0.154 ms
1053-phrase.npy: IDR: 97.22%     MR: 1.39%       FAR: 1.39%      IDA: 0.150 ms
1042-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.149 ms
1051-phrase.npy: IDR: 94.71%     MR: 2.65%       FAR: 2.65%      IDA: 0.593 ms
1058-phrase.npy: IDR: 99.44%     MR: 0.00%       FAR: 0.56%      IDA: 0.157 ms
1230-phrase.npy: IDR: 99.19%     MR: 0.00%       FAR: 0.81%      IDA: 0.117 ms
1225-phrase.npy: IDR: 93.28%     MR: 6.72%       FAR: 0.00%      IDA: 0.136 ms
1198-phrase.npy: IDR: 96.02%     MR: 1.70%       FAR: 2.27%      IDA: 0.759 ms
1266-phrase.npy: IDR: 68.00%     MR: 12.80%      FAR: 19.20%     IDA: 2.001 ms
1306-phrase.npy: IDR: 91.80%     MR: 4.37%       FAR: 3.83%      IDA: 1.376 ms
1258-phrase.npy: IDR: 98.80%     MR: 1.20%       FAR: 0.00%      IDA: 0.192 ms
1319-phrase.npy: IDR: 90.71%     MR: 2.86%       FAR: 6.43%      IDA: 1.365 ms
1322-phrase.npy: IDR: 82.00%     MR: 12.00%      FAR: 6.00%      IDA: 2.255 ms
1335-phrase.npy: IDR: 95.14%     MR: 2.78%       FAR: 2.08%      IDA: 1.185 ms
1384-phrase.npy: IDR: 75.71%     MR: 14.29%      FAR: 10.00%     IDA: 2.537 ms
1329-phrase.npy: IDR: 93.60%     MR: 0.58%       FAR: 5.81%      IDA: 0.969 ms
1340-phrase.npy: IDR: 83.33%     MR: 9.65%       FAR: 7.02%      IDA: 1.782 ms
1400-phrase.npy: IDR: 90.32%     MR: 4.03%       FAR: 5.65%      IDA: 1.762 ms
1337-phrase.npy: IDR: 58.96%     MR: 18.50%      FAR: 22.54%     IDA: 2.125 ms
1421-phrase.npy: IDR: 87.05%     MR: 6.47%       FAR: 6.47%      IDA: 1.209 ms
1432-phrase.npy: IDR: 89.93%     MR: 4.32%       FAR: 5.76%      IDA: 0.959 ms
1425-phrase.npy: IDR: 97.79%     MR: 2.21%       FAR: 0.00%      IDA: 0.140 ms
1408-phrase.npy: IDR: 80.88%     MR: 10.29%      FAR: 8.82%      IDA: 1.845 ms
1459-phrase.npy: IDR: 85.71%     MR: 4.76%       FAR: 9.52%      IDA: 1.465 ms
1477-phrase.npy: IDR: 98.29%     MR: 0.57%       FAR: 1.14%      IDA: 0.110 ms
1479-phrase.npy: IDR: 87.50%     MR: 7.29%       FAR: 5.21%      IDA: 1.627 ms
1568-phrase.npy: IDR: 96.21%     MR: 3.79%       FAR: 0.00%      IDA: 0.243 ms
1593-phrase.npy: IDR: 78.26%     MR: 9.94%       FAR: 11.80%     IDA: 1.891 ms
1673-phrase.npy: IDR: 92.86%     MR: 1.59%       FAR: 5.56%      IDA: 1.411 ms
1566-phrase.npy: IDR: 87.03%     MR: 5.95%       FAR: 7.03%      IDA: 1.181 ms
1663-phrase.npy: IDR: 97.41%     MR: 0.00%       FAR: 2.59%      IDA: 0.455 ms
1661-phrase.npy: IDR: 98.57%     MR: 0.00%       FAR: 1.43%      IDA: 0.646 ms
1675-phrase.npy: IDR: 74.67%     MR: 13.33%      FAR: 12.00%     IDA: 2.371 ms
1868-phrase.npy: IDR: 87.76%     MR: 2.04%       FAR: 10.20%     IDA: 1.002 ms
1690-phrase.npy: IDR: 95.44%     MR: 2.28%       FAR: 2.28%      IDA: 1.146 ms
1744-phrase.npy: IDR: 73.26%     MR: 9.30%       FAR: 17.44%     IDA: 2.475 ms
1767-phrase.npy: IDR: 96.86%     MR: 1.57%       FAR: 1.57%      IDA: 0.814 ms
1891-phrase.npy: IDR: 93.28%     MR: 1.49%       FAR: 5.22%      IDA: 1.313 ms
1900-phrase.npy: IDR: 97.20%     MR: 1.40%       FAR: 1.40%      IDA: 0.200 ms
1904-phrase.npy: IDR: 81.67%     MR: 8.33%       FAR: 10.00%     IDA: 1.365 ms
1928-phrase.npy: IDR: 72.12%     MR: 13.46%      FAR: 14.42%     IDA: 2.323 ms
1910-phrase.npy: IDR: 69.92%     MR: 15.79%      FAR: 14.29%     IDA: 1.891 ms
1787-phrase.npy: IDR: 83.60%     MR: 6.40%       FAR: 10.00%     IDA: 1.702 ms
1931-phrase.npy: IDR: 94.01%     MR: 2.99%       FAR: 2.99%      IDA: 0.816 ms
1958-phrase.npy: IDR: 92.51%     MR: 2.67%       FAR: 4.81%      IDA: 1.317 ms
1959-phrase.npy: IDR: 97.76%     MR: 0.75%       FAR: 1.49%      IDA: 1.164 ms
1951-phrase.npy: IDR: 91.43%     MR: 3.57%       FAR: 5.00%      IDA: 1.394 ms
1988-phrase.npy: IDR: 76.92%     MR: 6.99%       FAR: 16.08%     IDA: 1.445 ms
1989-phrase.npy: IDR: 89.04%     MR: 5.48%       FAR: 5.48%      IDA: 1.475 ms
