143-phrase.npy: IDR: 87.67%      MR: 5.48%       FAR: 6.85%      IDA: 1.204 ms
665-phrase.npy: IDR: 95.89%      MR: 2.05%       FAR: 2.05%      IDA: 0.728 ms
901-phrase.npy: IDR: 64.29%      MR: 35.71%      FAR: 0.00%      IDA: 1.782 ms
1438-phrase.npy: IDR: 98.63%     MR: 1.37%       FAR: 0.00%      IDA: 0.106 ms
1482-phrase.npy: IDR: 84.58%     MR: 6.97%       FAR: 8.46%      IDA: 1.482 ms
1666-phrase.npy: IDR: 84.03%     MR: 7.56%       FAR: 8.40%      IDA: 0.988 ms
1652-phrase.npy: IDR: 98.19%     MR: 1.81%       FAR: 0.00%      IDA: 0.240 ms
1565-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.147 ms
1677-phrase.npy: IDR: 98.81%     MR: 0.60%       FAR: 0.60%      IDA: 0.141 ms
1672-phrase.npy: IDR: 99.12%     MR: 0.00%       FAR: 0.88%      IDA: 0.904 ms
1723-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.140 ms
1689-phrase.npy: IDR: 99.45%     MR: 0.55%       FAR: 0.00%      IDA: 0.180 ms
1679-phrase.npy: IDR: 89.20%     MR: 4.23%       FAR: 6.57%      IDA: 1.339 ms
1763-phrase.npy: IDR: 64.10%     MR: 19.23%      FAR: 16.67%     IDA: 3.058 ms
1757-phrase.npy: IDR: 68.29%     MR: 15.85%      FAR: 15.85%     IDA: 1.779 ms
1762-phrase.npy: IDR: 95.73%     MR: 4.27%       FAR: 0.00%      IDA: 0.221 ms
1752-phrase.npy: IDR: 99.34%     MR: 0.66%       FAR: 0.00%      IDA: 0.132 ms
1769-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.135 ms
1770-phrase.npy: IDR: 96.03%     MR: 3.17%       FAR: 0.79%      IDA: 0.636 ms
1790-phrase.npy: IDR: 82.95%     MR: 9.09%       FAR: 7.95%      IDA: 1.449 ms
1782-phrase.npy: IDR: 87.00%     MR: 4.00%       FAR: 9.00%      IDA: 1.009 ms
1797-phrase.npy: IDR: 82.20%     MR: 11.02%      FAR: 6.78%      IDA: 1.311 ms
1817-phrase.npy: IDR: 85.09%     MR: 6.14%       FAR: 8.77%      IDA: 1.125 ms
1804-phrase.npy: IDR: 88.15%     MR: 4.44%       FAR: 7.41%      IDA: 0.719 ms
1807-phrase.npy: IDR: 86.84%     MR: 5.26%       FAR: 7.89%      IDA: 1.397 ms
1821-phrase.npy: IDR: 88.97%     MR: 6.21%       FAR: 4.83%      IDA: 1.661 ms
1902-phrase.npy: IDR: 76.19%     MR: 9.52%       FAR: 14.29%     IDA: 1.686 ms
1834-phrase.npy: IDR: 81.90%     MR: 8.62%       FAR: 9.48%      IDA: 1.435 ms
1869-phrase.npy: IDR: 85.19%     MR: 8.89%       FAR: 5.93%      IDA: 1.638 ms
1909-phrase.npy: IDR: 90.48%     MR: 0.00%       FAR: 9.52%      IDA: 2.749 ms
1908-phrase.npy: IDR: 86.07%     MR: 7.38%       FAR: 6.56%      IDA: 1.638 ms
