Method,IDR (%),MR (%),FAR (%),SD (ms)
RAW,99.329,0.241,0.428,0.2766666667
RAW_0_babble,92.641,4.125,3.233,0.5966666667
RAW_5_babble,96.446,0.914,2.638,0.4133333333
RAW_10_babble,98.366,0.501,1.133,0.33
RAW_15_babble,99.115,0.27,0.614,0.3
RAW_20_babble,99.289,0.241,0.469,0.2866666667
RAW_25_babble,99.362,0.206,0.431,0.28
RAW_0_white,98.401,0.399,1.199,0.3366666667
RAW_5_white,99.152,0.343,0.503,0.3
RAW_10_white,99.315,0.208,0.475,0.2933333333
RAW_15_white,99.36,0.183,0.456,0.2833333333
RAW_20_white,99.353,0.196,0.45,0.2833333333
RAW_25_white,99.375,0.148,0.476,0.28
