Method,IDR (%),MR (%),FAR (%),SD (ms)
RAW,99.08333333,0.6360333333,0.2783666667,0.3959
RAW_0_babble,96.35,2.883666667,0.7621666667,0.3998666667
RAW_5_babble,98.85,0.776,0.3762,0.4103
RAW_10_babble,99.02666667,0.6745,0.2970333333,0.4015666667
RAW_15_babble,99.07,0.6468666667,0.2820666667,0.3980666667
RAW_20_babble,99.08,0.6416,0.2809,0.3967666667
RAW_25_babble,99.082,0.6360333333,0.281966666700006,0.3964
RAW_0_white,96.69666667,2.66,0.6434666667,0.373
RAW_5_white,98.85666667,0.7681333333,0.375,0.4101
RAW_10_white,99.03,0.6695,0.3018666667,0.4007333333
RAW_15_white,99.06333333,0.6513666667,0.2875333333,0.3975666667
RAW_20_white,99.08,0.6384333333,0.2817333333,0.3968
RAW_25_white,99.083,0.63613,0.280870000000001,0.3963
